Date;Date Value;Open;High;Low;Close;Adj Close;Volume
17.08.2017;42964;172.500000;173.990005;172.270004;172.720001;108.325470;26052710
18.08.2017;42965;171.710007;171.710007;168.130005;169.500000;106.305954;52379130
21.08.2017;42968;169.770004;170.690002;168.500000;169.899994;106.556831;36731731
22.08.2017;42969;171.199997;171.699997;169.699997;171.000000;107.246719;37858790
23.08.2017;42970;171.000000;175.300003;170.979996;175.300003;109.943573;55467240
24.08.2017;42971;175.500000;179.940002;175.300003;179.800003;112.765846;78591505
25.08.2017;42972;180.850006;182.250000;179.600006;180.509995;113.211143;68786625
28.08.2017;42975;180.600006;181.850006;179.199997;181.850006;114.051567;27960960
29.08.2017;42976;182.000000;182.000000;179.509995;181.889999;114.076637;46130830
30.08.2017;42977;182.500000;184.479996;180.850006;183.500000;115.086388;48549170
31.08.2017;42978;182.990005;186.330002;181.710007;183.509995;115.092667;64267180
01.09.2017;42979;183.850006;185.330002;182.020004;183.660004;115.186737;34360115
04.09.2017;42982;181.509995;185.270004;180.929993;184.100006;115.462715;25717519
05.09.2017;42983;184.389999;185.589996;183.330002;184.139999;115.487785;34342180
06.09.2017;42984;183.250000;183.729996;181.470001;183.119995;114.848076;33518700
07.09.2017;42985;183.470001;185.250000;183.320007;184.000000;115.399979;45668560
08.09.2017;42986;184.100006;187.429993;183.770004;185.889999;116.585342;60690504
11.09.2017;42989;186.699997;191.300003;186.509995;190.500000;119.476601;61682296
12.09.2017;42990;191.029999;192.309998;188.139999;189.320007;118.736534;50535750
13.09.2017;42991;189.320007;190.949997;188.399994;189.100006;118.598579;47811940
14.09.2017;42992;189.000000;189.389999;186.000000;188.639999;118.310074;38052225
15.09.2017;42993;188.729996;189.300003;186.720001;188.750000;118.379051;44784390
18.09.2017;42996;189.559998;190.369995;187.309998;188.039993;117.933762;29580441
19.09.2017;42997;187.679993;187.720001;184.550003;184.850006;115.933075;41401289
20.09.2017;42998;184.500000;186.470001;182.649994;186.470001;116.949104;50035550
21.09.2017;42999;186.399994;188.369995;183.800003;187.380005;117.519836;41621355
22.09.2017;43000;187.350006;188.770004;186.770004;187.550003;117.626434;37307814
25.09.2017;43003;187.369995;191.380005;186.369995;191.199997;119.915619;64177071
26.09.2017;43004;191.559998;195.000000;191.539993;192.539993;120.756058;82080305
27.09.2017;43005;192.940002;194.289993;191.199997;193.699997;121.483566;55030942
28.09.2017;43006;193.679993;194.300003;191.529999;191.960007;120.392296;39113081
29.09.2017;43007;192.000000;192.940002;190.800003;192.330002;120.624329;26325574
02.10.2017;43010;192.759995;194.100006;191.100006;193.000000;121.044533;35954811
03.10.2017;43011;193.279999;193.869995;192.130005;192.500000;120.730957;28657990
04.10.2017;43012;192.490005;192.589996;191.220001;192.029999;120.436180;26536581
05.10.2017;43013;192.000000;193.929993;189.059998;193.740005;121.508659;49466550
06.10.2017;43014;194.300003;196.419998;193.669998;194.160004;121.772072;52399742
09.10.2017;43017;194.199997;194.899994;192.580002;194.000000;121.671700;27756710
10.10.2017;43018;194.300003;194.449997;192.949997;193.210007;121.176247;17832400
11.10.2017;43019;193.949997;196.750000;193.559998;195.830002;122.819435;58002027
12.10.2017;43020;195.850006;196.750000;194.949997;195.509995;122.618736;34969750
13.10.2017;43021;195.619995;197.289993;195.199997;196.479996;123.227104;30338962
16.10.2017;43024;197.529999;198.520004;196.699997;197.699997;123.992249;26979475
17.10.2017;43025;197.300003;198.000000;196.070007;197.199997;123.678673;26239765
